identifier,logFC,AveExpr,t_stat,P.Value,adj.P.Val,B,gene_name,symbol
LBP~P18428,1.853544953891829,13.658741385638992,6.8290123525894675,1.0460389544417544e-7,6.269695983185265e-6,7.765443707144425,LBP,LBP
TUBA1B~P68363,2.2623161647293966,13.183083155429497,6.780131580352605,1.2008456301723033e-7,6.278762671440931e-6,7.631485363492366,TUBA1B,TUBA1B
PSMA6~G3V295,2.81866601472667,10.33314879603763,6.768129025573617,1.2422807823398987e-7,6.278762671440931e-6,7.598557962101542,PSMA6,PSMA6
MYH10~A0A8I5KZ38,1.167385210236306,15.8111868634665,6.7525141400607165,1.2983592100638724e-7,6.278762671440931e-6,7.555700654031582,MYH10,MYH10
DDX39B~A0A0A0MT12,1.1803135457891774,12.747345282093919,6.744655463126136,1.3275441147560017e-7,6.278762671440931e-6,7.534122892850514,DDX39B,DDX39B
CALM1~P0DP23,1.6178747877618544,14.468239589668828,6.7322652912930705,1.3749115338921749e-7,6.278762671440931e-6,7.500091423008679,CALM1,CALM1
VCL~P18206,2.4099634273346116,14.295247987812969,6.6024114191871695,1.9870142533300018e-7,8.661575767924873e-6,7.142606048108548,VCL,VCL
PPIA~P62937,2.2896008757757063,13.37319329931421,6.475133355771602,2.854662620095934e-7,1.1760731015295862e-5,6.790829717476927,PPIA,PPIA
LGALSL~Q3ZCW2,4.094632573472383,10.840314139098114,6.464418848863213,2.943248637821696e-7,1.1760731015295862e-5,6.761157588822363,LGALSL,LGALSL
EEF1A1~A0A087WVQ9,1.3172013427611997,14.36405394916941,6.340062652044028,4.199005041742721e-7,1.6107383340125078e-5,6.416144731441167,EEF1A1,EEF1A1
H4C9~P62805,5.426283475303155,12.789121082722454,6.19346933498671,6.562151333909848e-7,2.4204242804690556e-5,5.98525011217983,H4C9,H4C9
PDLIM1~O00151,3.454649188097399,9.434473218991306,6.041986857470896,9.883784023316913e-7,3.470950688868944e-5,5.5850165272496435,PDLIM1,PDLIM1
RPL23A~A8MUS3,3.998644545216157,9.332051699040338,6.033304227518064,1.0134162595237792e-6,3.470950688868944e-5,5.5607314660332205,RPL23A,RPL23A
C3~P01024,-0.7973327519951781,23.84520339299628,-5.9891745369753755,1.1508926458742366e-6,3.7712424679462916e-5,5.43724583119755,C3,C3
GAPDH~P04406,1.5887108087050947,14.822336549134109,5.980590036870926,1.1797421693262643e-6,3.7712424679462916e-5,5.413213740669401,GAPDH,GAPDH
COX4I1~H3BN72,4.037095831684173,9.285353569685393,5.935370601130571,1.3441636736003406e-6,4.158235364460408e-5,5.286569258365847,COX4I1,COX4I1
TMOD3~H0YKU1,4.377410115890564,10.138468581453038,5.9180520115322315,1.4130769031659514e-6,4.2348148441754604e-5,5.23804271887603,TMOD3,TMOD3
MYO1B~E9PDF6,1.2926254456748651,12.48316667390832,5.776194206503976,2.1293210105735564e-6,6.187935906484972e-5,4.840140033278552,MYO1B,MYO1B
PTGES3~A0A087WYT3,3.6651998200697458,9.349342418876065,5.750458579505195,2.2939545697886425e-6,6.232147858503754e-5,4.76788405214242,PTGES3,PTGES3
MYH9~P35579,0.8020609304684676,17.187899827296814,5.745906294178272,2.3243795693465606e-6,6.232147858503754e-5,4.755101065884046,MYH9,MYH9
PRDX3~P30048,3.6661579480845843,8.764028228574892,5.741915922791445,2.3513821593121183e-6,6.232147858503754e-5,4.743895507283951,PRDX3,PRDX3
RPL10A~P62906,2.6217654698296826,10.745444063205701,5.734201969940297,2.4044783187136485e-6,6.232147858503754e-5,4.722232411690089,RPL10A,RPL10A
EIF3H~B3KS98,3.8764916107188263,8.869195059892018,5.650755029703635,3.0618240983287543e-6,7.727077132361251e-5,4.487800780110487,EIF3H,EIF3H
MDH1~A0A5K1VW95,2.262306095576257,11.79127310802719,5.635032053259516,3.204546787143548e-6,7.879898381719648e-5,4.4436139537580575,MDH1,MDH1
MYH9~P35579-2,1.0413055711154993,13.550398932378833,5.5821333012932035,3.7355685279002585e-6,8.95602554564087e-5,4.294923027588061,MYH9,MYH9
MSN~A0A8V8TKR9,0.8733777540361327,14.008749050796427,5.519064432777493,4.48522862480086e-6,1.0470883203442579e-4,4.11760442802007,MSN,MSN
PKM~A0A8V8TNX9,1.652972410716563,12.221477201634372,5.511420066804682,4.585788264281422e-6,1.0470883203442579e-4,4.096110268648007,PKM,PKM
YWHAZ~P63104,2.2847461802779403,15.085186218190598,5.488514965730305,4.900828027964331e-6,1.0929986229808821e-4,4.031705021375905,YWHAZ,YWHAZ
CAV1~Q03135,1.245289005300739,14.064703800010014,5.447856192745815,5.51440667703345e-6,1.2018900007443361e-4,3.9173769868831334,CAV1,CAV1
ACTR2~P61160,1.8998177895581172,11.939353954869897,5.4050532575294286,6.24365007318109e-6,1.3305912044845922e-4,3.797022698964846,ACTR2,ACTR2
ACTN1~P12814,2.3883289739941187,13.200343564619372,5.378639787856524,6.74105330574598e-6,1.4047799197041726e-4,3.7227575768448693,ACTN1,ACTN1
SH3BGRL3~Q5T123,2.0448595372572544,14.480080628572482,5.371209646148378,6.887987996369272e-6,1.4047799197041726e-4,3.7018677095516717,SH3BGRL3,SH3BGRL3
IQGAP1~P46940,1.082247165799183,11.569985266377206,5.364117652657101,7.031223789968746e-6,1.4047799197041726e-4,3.6819290313305926,IQGAP1,IQGAP1
MYH14~Q7Z406,1.1052137780599143,12.417376243130594,5.326411855805531,7.84432104254297e-6,1.5151162297769526e-4,3.5759311284359283,MYH14,MYH14
SPTBN1~Q01082,0.753004645360404,13.484387005860905,5.3239983777878415,7.899458966511745e-6,1.5151162297769526e-4,3.5691470244627643,SPTBN1,SPTBN1
RPS18~J3JS69,2.066223450750069,12.490423593256745,5.307947485816169,8.276146349794166e-6,1.5562400685201186e-4,3.5240313917904436,RPS18,RPS18
MYL12A~J3QRS3,1.1801539894714796,15.49374565362081,5.293425191158438,8.632413056674081e-6,1.5920161771827777e-4,3.4832158932511996,MYL12A,MYL12A
COMP~G3XAP6,-0.9627004417161604,15.464268069465623,-5.242847290572882,9.997205782169109e-6,1.8089283670000332e-4,3.341096005049944,COMP,COMP
MCM2~H0Y8E6,3.7253970419385904,9.885662451664334,5.206310699469653,1.1115354263016911e-5,1.9740045811542995e-4,3.2384673567974867,MCM2,MCM2
YWHAE~P62258,1.8778346308085112,12.872732272439638,5.1816916564640225,1.1938388977448255e-5,2.0816209144314322e-4,3.169334551221378,YWHAE,YWHAE
PRKCSH~K7ELL7,1.1027666069983795,11.940914533153906,5.137272554018733,1.3580289854353446e-5,2.3256246375580276e-4,3.0446486915826076,PRKCSH,PRKCSH
TPT1~A0A0B4J2C3,2.312492175484179,11.126547916549093,5.102146092685485,1.5036758009878312e-5,2.529868584469e-4,2.94609655619833,TPT1,TPT1
PPP2R1A~A0A994J3H1,3.281473410150447,8.720745112027574,5.0956072014740155,1.532460853617607e-5,2.533844756240147e-4,2.9277560319979807,PPP2R1A,PPP2R1A
PRDX4~H7C3T4,1.3075095668958028,11.85662623119245,5.069552550474046,1.6527185011825355e-5,2.6863678688712734e-4,2.8546944554940596,PRDX4,PRDX4
GPX3~P22352,-0.5707430004259599,17.526473958549392,-5.004782675270012,1.9940127530285112e-5,3.134437718174061e-4,2.6732016062775275,GPX3,GPX3
ACTR3~P61158,3.340508454666547,9.260226188725161,4.9992432630130255,2.0262741388528504e-5,3.134437718174061e-4,2.657689071423335,ACTR3,ACTR3
VCP~A0A7P0T8Q5,2.1151812795068388,12.369759440394636,4.999215824097474,2.0264352296850032e-5,3.134437718174061e-4,2.6576122356285934,VCP,VCP
PPA1~Q15181,3.278890944776446,8.989290289161618,4.983734287031134,2.119390306642652e-5,3.226183022333815e-4,2.614266423732299,PPA1,PPA1
RAB11A~H3BMH2,3.8930936954261313,10.867024827375083,4.907955508769573,2.6393625201713066e-5,3.954919776319192e-4,2.4022942240660745,RAB11A,RAB11A
IGHV1-3~A0A0C4DH29,1.7191318170686465,17.647487618475886,4.896652217316168,2.7271181487083564e-5,4.023548160940483e-4,2.3707061813375256,IGHV1-3,IGHV1-3
TMSB4X~P62328,2.217550296504834,17.090481995684595,4.889895394819798,2.780956222872759e-5,4.0408136632348124e-4,2.351827625786645,TMSB4X,TMSB4X
EIF4A1~J3KT12,5.197274037260758,11.245868770688919,4.8726714871285814,2.9230259121176542e-5,4.1838535070460155e-4,2.303717835290967,EIF4A1,EIF4A1
GSTO1~P78417,1.626104288246566,13.651040640260398,4.836578069590746,3.244573633886834e-5,4.575803110143344e-4,2.202968582664803,GSTO1,GSTO1
PARVB~Q9HBI1-3,3.7671499110005797,11.965241861266732,4.763271040767309,4.009819127823522e-5,5.493452205118225e-4,1.9986446053514273,PARVB,PARVB
