symbol,t_stat
TUBB4B,3.947513930332012
EZR,3.9212313259290017
MYO1C,3.9170824236654638
RPS10,3.8560448441305173
PNP,3.8510958315380814
DBI,3.8154573545358503
HSPA12B,3.8097009731315477
HNRNPH1,3.7932739084501614
CBR1,3.7747707637240975
PFN1,3.7611245547257974
MYLK,3.760438871556099
PPP2CA,3.7591621903689507
MYL6,3.749116591645139
VTN,3.747103812127701
ARF1,3.728662429491419
SPTAN1,3.71639765627853
VIM,3.712342483582906
PRDX1,3.7104214550931327
TYMP,3.708741460336726
RPS20,3.700238058166514
ACTC1,3.699007499377632
PRDX5,3.6917568294118492
FKBP1A,3.667263093925346
COL1A1,3.646675568881034
CAVIN2,3.6216517598556774
GPI,3.6045273194163787
PGAM1,3.5928215883389782
RHOA,3.5589102104862747
TALDO1,3.5467969046241703
ITIH4,3.5290314385470256
FLNA,3.520533783315418
CAPZA1,3.4789354769674516
ENO1,3.461140775094602
PPP1CA,3.4593082014108494
PSMA4,3.4496248015921562
HPCAL1,3.415259339664899
ABRACL,3.4068592304009675
COTL1,3.4003381758410227
RPS9,3.37539242041947
NPEPPS,3.2942660955431746
WDR1,3.2866187304542307
RAB27B,3.2851169250162444
CALU,3.268958353915585
SOD2,3.2587447113718198
HSPD1,3.254725383875505
RPL8,3.23650472331895
MYH11,3.2312039566078052
MYO1D,3.2236347401026104
ARPC1B,3.2176620610927675
SAR1A,3.1739205775564536
ENDOD1,3.1452360977974174
CAPN1,3.1427658531443967
FASN,3.1152877683134985
TUBB,3.1097147030581254
RPL7,3.0866423184476863
CTTN,3.053867060038062
PGK1,3.0512617433260405
DDT,3.0442359405486683
GDI2,3.025400899031243
RPL4,3.0088429919716795
CAP1,2.997547162228954
RPL7A,2.982802172641833
TXN,2.975181013725114
SH3BGRL,2.9722091222008618
HRG,2.9390887690541
RAB7A,2.9372025243494226
PRDX6,2.921960668465555
EEF1G,2.8925891802165182
PARK7,2.870942966141677
ARPC5,2.8605460621227485
LIMCH1,2.830874901330201
SUMO3,2.8125444917389117
ARPC4-TTLL3,2.7912788390993315
TXNDC17,2.77314505462599
HSPA9,2.757718047120862
ARHGDIB,2.7439968920353794
ERP44,2.740487942948617
G3BP1,2.7388061298954423
UBQLN1,2.73743869828864
LDHB,2.6932382593694046
PSMB2,2.6833820008662674
GANAB,2.677658961628038
FBLN1,2.6767155395686046
