identifier,logFC,AveExpr,t_stat,P.Value,adj.P.Val,B,symbol
DDX39A~O00148,0.5241285626199499,16.001601245975582,7.630215274528935,1.7197105533240038e-9,2.574191734506868e-7,11.630008247346435,DDX39A
LUM~P51884,0.5358869614743291,17.350161505658548,7.525840494335096,2.420352434070006e-9,3.409849458586861e-7,11.298342811819186,LUM
ALDH1B1~P30837,0.3092346731862463,18.49100996560321,7.437546455743327,3.2338181793878728e-9,4.182182751097127e-7,11.017111659545769,ALDH1B1
CA3~P07451,0.647681495172769,17.58604643197081,7.429741562185608,3.3178067754006436e-9,4.182182751097127e-7,10.99222367992256,CA3
PMM2~O15305,0.36365149641212824,17.007171525918526,7.34298209652717,4.41325821315716e-9,5.24206853426402e-7,10.715273105259666,PMM2
CALU~O43852,0.3425535458057034,18.446500766509672,7.327140068405571,4.6495289453755275e-9,5.24206853426402e-7,10.664645824428042,CALU
RPS5~M0R0F0,-0.36661867650765245,19.483870731623217,-7.316503843713219,4.81526128408386e-9,5.24206853426402e-7,10.630645445144147,RPS5
MRPL50~Q8N5N7,0.584758072605915,18.330669780648396,7.24894014793831,6.0161459529459815e-9,6.264638937958968e-7,10.414491971996085,MRPL50
ATP6V0A1~Q93050-3,0.4992172486474509,16.970890891573212,7.157615218081165,8.132481094700316e-9,8.115538425753024e-7,10.121860834249851,ATP6V0A1
IQGAP1~P46940,0.4124498932873273,16.177115220668746,7.115166035708882,9.357141011460841e-9,8.964141088979486e-7,9.985672399047402,IQGAP1
APMAP~Q9HDC9,0.460168222298865,15.896610142898904,6.9860446726761385,1.434547402240097e-8,1.3214388570634739e-6,9.57081296044614,APMAP
WDR11~Q9BZH6,-1.212370282802997,13.41034747391426,-6.971569488334854,1.505018763666638e-8,1.3350073848079996e-6,9.524252324457741,WDR11
KIAA2013~Q8IYS2,-1.6067342554664918,14.285894438656127,-6.937189613367553,1.6866528860662035e-8,1.442690593617342e-6,9.413627092810277,KIAA2013
GAPDH~P04406,-0.26242556336647027,22.805326228235927,-6.910013893483143,1.8456849313213394e-8,1.4852503318046732e-6,9.326144912242022,GAPDH
XYLB~O75191,0.35272490101407783,17.760588774427085,6.907613044282556,1.8604388289828893e-8,1.4852503318046732e-6,9.318414702063869,XYLB
LMF2~Q9BU23,0.8855394995548238,15.866527513105385,6.868720774648705,2.1166335750660963e-8,1.6352701329946133e-6,9.193155906518658,LMF2
CPVL~Q9H3G5,-0.5268020438893828,15.7344215822412,-6.818975961616001,2.4966167240667223e-8,1.8685615794186876e-6,9.032855330721159,CPVL
AKR1B1~P15121,0.3411104152928317,17.454691405851673,6.7862620499772195,2.7831212508328735e-8,2.019871332043858e-6,8.927385070525588,AKR1B1
QARS1~P47897,-1.3392976531311938,13.225856347387218,-6.74821655221901,3.158085936518353e-8,2.2245928876357223e-6,8.804678425841207,QARS1
GLRX5~Q86SX6,2.3057931173396486,12.89797944646309,6.73092268218786,3.3448988767111544e-8,2.288866517063776e-6,8.748885366412782,GLRX5
DDX50~Q9BQ39,1.2351137786455535,12.51559396835805,6.714593696964333,3.5314547696697655e-8,2.3493983814886354e-6,8.696196579482628,DDX50
NDUFB4~O95168,0.329830525391813,17.55878884221508,6.698005646520095,3.7316617552949914e-8,2.4003844533530833e-6,8.642663622771504,NDUFB4
TMEM245~H7C0G1,4.695007971779516,13.961108019566593,6.696682267251461,3.8085431827731596e-8,2.4003844533530833e-6,8.624130309316474,TMEM245
PLAA~Q9Y263,1.0297606023442825,14.783538033725964,6.6795141218488165,3.9682918482687633e-8,2.4369381991291506e-6,8.582978379628173,PLAA
UQCRQ~O14949,0.5726539622666493,18.96450101100846,6.658907640200779,4.2497600317064496e-8,2.5445438189842365e-6,8.51645554543554,UQCRQ
SAMHD1~Q9Y3Z3,0.28315156672393016,17.74666080887851,6.630803486888841,4.666192318487171e-8,2.725739171408969e-6,8.425710579831502,SAMHD1
PRMT5~O14744-2,0.4071886096619828,18.389391621435,6.608525417590041,5.025180628601548e-8,2.865549429881121e-6,8.353763742167452,PRMT5
