symbol,t_stat
GFUS,4.258566099275827
CTNND1,4.250549882864445
SKIC8,4.2492043415282454
STRAP,4.242813181323028
EML2,4.239146437727702
S100A10,4.235936192849297
SEC23A,4.2152649127420645
CLINT1,4.2148428661595485
UGP2,4.212901898041736
ACTN1,4.203827672718552
SERPINB9,4.189901722015763
SLC25A11,4.1810586566543435
SEC61A1,4.179804696469761
SERBP1,4.173400704034305
CYP27A1,4.172674838072899
FAH,4.166484748237443
PMPCA,4.155516332590787
MMS19,4.150918069101785
ELAVL1,4.1447719542437795
ALDH3A2,4.142406643816135
ACADM,4.135759948198278
ERGIC1,4.133050732067308
