symbol,t_stat
HPX,6.782794800147107
CIAO1,6.763221677537578
VAPB,6.763168642436696
RPL35A,6.753317627261139
YWHAB;YWHAG,6.7500029346229935
GARS,6.742745412583829
ACTN4,6.733988969596888
SPAG9,6.686512271316933
ETNK1,6.678584661345343
GGT5,6.664267702182951
AKAP12,6.635760414934981
RPS6,6.609414316465475
SNX2,6.588170033727889
CCDC90B,6.581085574096324
MRPS5,6.567978198300651
PDIA3,6.565465766245279
PRMT7,6.560475984412069
ADPGK,6.542633632876989
ICT1,6.541754715923302
EEF2,6.505777073338073
MAP4,6.502922613993326
SLC2A2,6.497865157734614
HNMT,6.489703657197627
USP39,6.477417979083787
PSMD12,6.4421008156627435
PCCB,6.432577953155468
NPEPPS,6.431074015383695
RPLP0;RPLP0P6,6.416979866624913
MMS19,6.414969682429651
VDAC1,6.375606058574287
MTX2,6.369736262558792
ACY1;ABHD14A-ACY1,6.35418519646004
PPM1G,6.344214561426451
PAFAH1B1,6.341789253084806
SLC25A25,6.324654382981673
TRIM33,6.323857813643031
NDUFA12,6.310681303281885
MAT2A,6.283608484341448
HMGCS1,6.2803451669889565
CFL1,6.280254442576544
MCM7,6.278865274157497
G6PD,6.262760978632388
GALT,6.254399799071164
C14ORF159,6.247942711403964
NASP,6.232160034867404
CSE1L,6.220861176122091
EML4,6.202234515290967
HBZ,6.193184701316996
GPD1,6.169549614246516
FKBP4,6.163219391826468
TOR1AIP2,6.148784669536888
MRPS35,6.146687548176014
TRAP1,6.1430177993801065
TMEM97,6.138165745525598
GLRX5,6.1346300308017865
EMG1,6.132160449859471
OSBP,6.1172104093246675
YBX3;YBX1,6.114687952367139
CA2,6.089525931549403
MLST8,6.080748991374231
TXNL1,6.080143279151793
MYDGF,6.075534023181354
ILF3;STRBP,6.0606135811829995
LMAN1,6.053159518057634
VPS29,6.037511813431613
TSR1,6.0369077970544085
HNRNPA0,5.995810380917994
TOE1,5.993464912570706
COPS3,5.975633872961892
ACO1,5.968527461245178
EPB41L3,5.962519035597761
TNKS1BP1,5.951021923392217
AKR1B1,5.9372738914969325
SDCBP,5.925369885152903
C4A;C4B,5.913179032290403
GRWD1,5.8790818330079055
RPL13A,5.858567182400605
SPCS3,5.834453724372785
STBD1,5.8061629018554175
RPS6KA3,5.792384548364453
NHLRC2,5.791858409050748
RENBP,5.7618741824657045
RMDN3,5.757484892227094
NARFL,5.744913859720021
CDK4,5.739234999160566
UGDH,5.7352169545379725
RPL5,5.734787149994838
DPP9,5.733305238266636
RPL7A,5.732187462993718
NAMPT,5.724248440545062
RPS21,5.722041649689386
UBTF,5.718183797896874
ADI1,5.7171433863306085
HECTD1,5.716650479599558
CP,5.71664742790201
HIST1H2AJ;HIST1H2AH;H2AFJ;HIST1H2AD;HIST1H2AG;HIST1H2AC;HIST3H2A;HIST1H2AB;H2AFX;HIST1H2AA;HIST2H2AC;HIST2H2AA3,5.715832002111045
SLC9A3R1,5.705743037334309
FLNA,5.690510572724335
